observation_id,obs_match,partner_id,par_match,From Dataset,no_partner_ids
9319390,No,9319352,Yes,Yes,306129976
9348478,Yes,9348479,Yes,Yes,306050485
9348479,Yes,9348478,Yes,Yes,305440788
9459167,No,9459512,Yes,Yes,305330970
9459167,No,9459405,Yes,Yes,305248599
9459405,Yes,9459167,No,Yes,304882448
9459512,Yes,9459167,No,Yes,303618072
9517655,Yes,89768239,No,Yes,303043348
9522897,No,9522909,No,No,302590565
9522909,No,9522897,No,No,302590564
9537171,No,9537173,Yes,No,302489428
9537173,Yes,9537171,No,Yes,301940886
9613319,No,9613322,No,No,301804098
9613322,No,9613319,No,Yes,301542958
9692012,No,9692033,No,No,301205306
9692033,No,9692012,No,No,299710138
9715130,No,9904574,No,No,299613787
9834684,Yes,66509279,No,Yes,299101804
9838468,No,9838470,Yes,No,298849453
9838470,Yes,9838468,No,Yes,298439201
9863697,Yes,9863711,Yes,Yes,298421266
9863711,Yes,9863697,Yes,Yes,298352879
9867536,No,66372280,No,Yes,298178561
9878001,Yes,66372180,No,Yes,298066733
9884371,Yes,9884260,No,Yes,297975654
9904574,No,9715130,No,Yes,297908719
9930991,Yes,66371922,No,Yes,297821644
9964169,No,9964178,No,Yes,297482407
9976884,No,66371811,No,Yes,297339804
10003229,Yes,66371739,No,Yes,297010925
10029654,No,10041811,No,No,296965821
10041811,No,10029654,No,No,296949971
10042362,Yes,66371463,No,Yes,296764034
10100279,No,10110571,No,No,295998008
10110571,No,10100279,No,No,295994285
10155097,Yes,10155098,No,Yes,295994278
10155098,No,10155097,Yes,No,295994274
10248122,Yes,10248124,No,Yes,294641559
10309167,Yes,10309216,No,Yes,294487673
10309216,No,10309167,Yes,No,293747774
10317797,Yes,10317798,Yes,Yes,293498632
10317798,Yes,10317797,Yes,Yes,291600833
10443455,No,10443482,Yes,No,291533722
10443482,Yes,10443455,No,Yes,291009479
10798943,No,10798942,No,No,290369368
10960123,No,10960412,Yes,No,290347942
10960412,Yes,3013721,No,Yes,289799235
10973513,No,66464171,No,Yes,288619986
10973541,No,66464171,No,No,288126839
10986794,Yes,10986817,No,Yes,287263147
10986817,No,10986794,Yes,No,286974934
11018377,Yes,11018383,Yes,Yes,286676941
11018383,Yes,11018377,Yes,Yes,286219823
11038627,No,66511689,No,No,285954278
11052821,No,74716276,No,No,285868929
11062359,No,74723977,No,No,285524996
11065591,No,1068463,Yes,No,285308541
11074133,No,11074145,No,No,284894026
11074145,No,11074133,No,No,282319904
11086957,Yes,11137126,No,Yes,281960206
11100580,No,66418812,No,No,281387537
11111443,No,28163598,No,No,280240859
11145464,No,66412784,No,No,279605894
11161551,No,11161923,No,No,277710262
11161568,No,43061684,No,No,277225238
11161923,No,11161551,No,No,276923661
11170366,No,11170752,No,No,276201799
11170752,No,11170366,No,No,275379114
11212609,Yes,11212629,No,Yes,275379098
11212629,No,11212609,Yes,No,274806496
11235252,No,66409546,No,Yes,274743112
11236942,Yes,11236972,No,Yes,273318688
11236972,No,11236942,Yes,No,273215067
11241828,No,11241837,No,Yes,272918858
11241837,No,11243067,No,No,272412885
11241837,No,11243064,Yes,No,272360609
11241837,No,11241828,No,No,272187103
11243064,Yes,11241837,No,Yes,272178008
11243067,No,11241837,No,No,272005373
11251463,No,4683091,No,No,271228089
11252870,Yes,11252885,Yes,Yes,271162461
11252885,Yes,11252870,Yes,Yes,271162440
11254099,No,73288373,Yes,No,271162434
11296008,Yes,11296022,No,Yes,271162407
11296022,No,11296008,Yes,No,269707033
11380928,Yes,70940574,No,Yes,269576608
11436874,Yes,10503314,No,Yes,269576598
12109806,No,19970520,Yes,No,269468635
12152382,Yes,12180961,Yes,Yes,269468634
12180961,Yes,12152382,Yes,Yes,269441149
12192407,Yes,79527725,No,Yes,269404152
12248949,Yes,12248950,No,Yes,268072225
12248950,No,12248949,Yes,Yes,268068992
12423946,Yes,12423948,Yes,Yes,267553283
12423948,Yes,12423946,Yes,Yes,267496654
12424336,No,12424335,No,Yes,267309706
12713850,No,12713851,Yes,No,267201467
12713851,Yes,12713850,No,Yes,267079659
12799736,Yes,12799131,No,Yes,267022336
12833153,Yes,12833171,No,Yes,266914721
12833171,No,12833153,Yes,Yes,266204281
13054939,No,13054943,No,Yes,266204278
13054943,No,13054939,No,Yes,266076068
13243479,No,13243478,No,No,265624911
13339379,Yes,13339396,No,Yes,265466247
13339396,No,13339379,Yes,No,264953671
13341112,No,13362711,No,No,264844044
13362711,No,13341112,No,No,264169115
13376691,Yes,13376692,No,Yes,264160871
13376692,No,13376691,Yes,Yes,264140628
13454032,Yes,13454098,No,Yes,264104786
13454098,No,13454032,Yes,Yes,264095006
13465172,No,170522151,Yes,No,264095005
13466688,No,13466689,Yes,Yes,264094398
13466689,Yes,13466688,No,Yes,264094392
13658828,Yes,69384807,No,Yes,264093842
13659253,Yes,70940471,No,Yes,264093837
13671361,Yes,70940395,No,Yes,263965551
13671629,Yes,21244313,Yes,Yes,263804642
13671742,Yes,70940001,No,Yes,263790698
13672038,Yes,45126488,No,Yes,263506262
13674014,Yes,70939902,No,Yes,263467894
13896077,Yes,70939804,No,Yes,263465799
13896094,Yes,70939768,No,Yes,263361738
14149750,Yes,14149902,Yes,Yes,263305759
14149902,Yes,14149750,Yes,Yes,263301985
14315471,Yes,70939654,No,Yes,263244646
14479871,No,188697268,Yes,No,263147038
14479873,No,188697608,Yes,No,263078785
14774517,No,14774518,Yes,Yes,263072838
14774518,Yes,14774517,No,Yes,263070531
14844443,No,14844445,No,No,262818937
14844445,No,14844443,No,No,262818935
15062351,Yes,254453746,Yes,Yes,262818934
15068248,No,66137135,No,Yes,262810696
15166420,Yes,66136865,No,Yes,262670769
15213348,Yes,15213349,Yes,Yes,262670760
15213349,Yes,15213348,Yes,Yes,261993676
15283784,Yes,212173299,No,Yes,261837733
15338360,Yes,15338361,Yes,Yes,261718737
15338361,Yes,15338360,Yes,Yes,261565880
15415677,Yes,225698071,No,Yes,260987224
15448018,Yes,66136549,No,Yes,260910810
16271597,No,243159868,No,No,260867242
17025639,Yes,70351555,No,Yes,260473984
17222610,No,17232666,No,No,260224269
17232666,No,17222610,No,No,260168357
17397457,No,17397637,No,No,259973898
17397637,No,17397457,No,No,259965044
17397695,No,17397697,No,Yes,259900329
17471940,Yes,17471942,No,Yes,259885586
17471942,No,17471940,Yes,Yes,259274641
17640824,Yes,31535775,No,Yes,259199276
17641370,Yes,31535775,No,Yes,258923591
17775476,No,17775475,No,Yes,258923527
17967539,Yes,116864512,No,Yes,258923353
18141580,No,18141624,No,Yes,258923180
18141624,No,18141580,No,No,258923118
18496989,Yes,66134983,No,Yes,258923064
18497275,Yes,66134765,No,Yes,258923008
18516577,No,66134678,Yes,Yes,258922982
18573817,Yes,66369706,No,Yes,258922846
18593084,Yes,66369616,Yes,Yes,258922329
18629826,Yes,18629832,No,Yes,258917721
18629832,No,18629826,Yes,Yes,258824173
19066016,Yes,28163598,No,Yes,258806327
19105615,Yes,1910,No,Yes,258663220
19105617,No,19105615,Yes,No,258276335
19220497,Yes,70939528,No,Yes,258276303
19277228,Yes,19277254,No,Yes,258132470
19277254,No,19277228,Yes,No,258058952
19277382,Yes,19277495,No,Yes,258031755
19296443,Yes,19296614,Yes,Yes,257636425
19296614,Yes,19296443,Yes,Yes,257587607
19488634,No,66368233,No,No,257490944
19489246,Yes,66368233,No,Yes,257490223
19501897,Yes,19501898,Yes,Yes,257490084
19501898,Yes,19501897,Yes,Yes,257382843
19585966,No,4311650,Yes,Yes,257336344
19608147,Yes,66368233,No,Yes,257327398
19613696,No,28163598,No,No,257327396
19631162,Yes,338453399,Yes,Yes,257327395
19653910,No,11251463,No,Yes,257321562
