id,partner_ids,scientific_name,partner_scientific_name,url,partner_url
66472188,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66472188,
66472198,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66472198,
66475262,,Palystes,,https://www.inaturalist.org/observations/66475262,
66524108,,Coleoptera,,https://www.inaturalist.org/observations/66524108,
66531667,,Tagoropsis flavinata,,https://www.inaturalist.org/observations/66531667,
66569670,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66569670,
66570197,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66570197,
66614739,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66614739,
66615987,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66615987,
66618049,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66618049,
66657682,,Gryllidae,,https://www.inaturalist.org/observations/66657682,
66658012,,Tetradactylus seps,,https://www.inaturalist.org/observations/66658012,
66665624,,Gryllidae,,https://www.inaturalist.org/observations/66665624,
66672785,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66672785,
66674036,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66674036,
66695957,,Rhabdomys pumilio,,https://www.inaturalist.org/observations/66695957,
66703880,,Egybolis vaillantina,,https://www.inaturalist.org/observations/66703880,
66703880,,Egybolis vaillantina,,https://www.inaturalist.org/observations/66703880,
66720831,,Apis mellifera,,https://www.inaturalist.org/observations/66720831,
66722255,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66722255,
66736479,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66736479,
66739410,,Gryllidae,,https://www.inaturalist.org/observations/66739410,
66741951,,Gryllidae,,https://www.inaturalist.org/observations/66741951,
66774855,,Gryllotalpa,,https://www.inaturalist.org/observations/66774855,
66781731,,Tetradactylus seps,,https://www.inaturalist.org/observations/66781731,
66782031,,Tetradactylus seps,,https://www.inaturalist.org/observations/66782031,
66820927,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66820927,
66822468,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66822468,
66825692,,Coreidae,,https://www.inaturalist.org/observations/66825692,
66884325,,Halcyon albiventris albiventris,,https://www.inaturalist.org/observations/66884325,
66884689,,Pegylis sommeri,,https://www.inaturalist.org/observations/66884689,
